File Name: not saved,,,,,,,,,,,,,
"Channel 1: 'LGM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 2: 'LAM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 3: 'LVM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 4: 'LVL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 5: 'LBF', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 6: 'LMG', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 7: 'LPL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 1: 'RGM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 2: 'RAM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 3: 'RVM', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 4: 'RVL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 5: 'RBF', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 6: 'RMG', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
"Channel 7: 'RPL', 9231 values, raw ADC, no filters.",,,,,,,,,,,,,
,,,,,,,,,,,,,
4000,4000,-4000,-4000,4000,-4000,-4000,-4000,-4000,-1863,4000,307,-4000,4000
3794,2626,-3789,-3715,3430,-3985,-3766,-4000,-4000,-1119,2446,141,-3927,2788
4000,2709,-4000,-4000,4000,-3835,-3511,-3105,-3277,-1015,2788,170,-4000,3392
3831,2229,-2866,-3437,1957,-2111,-1658,-3441,-3591,-1128,1819,120,-3288,1705
3689,1352,-1770,-3624,1904,-2011,-1763,-1673,-1916,-810,1276,104,-2811,1805
3182,1435,-1674,-1939,1138,-527,-371,-2016,-2189,-1092,1152,117,-1286,986
1380,535,-311,-630,470,-284,-308,-901,-1129,-816,406,72,-569,655
86,661,-506,455,506,566,400,-841,-1012,-957,552,99,66,429
-2102,4,560,2340,-629,1274,1199,-388,-553,-765,-182,48,1218,-485
-4000,-946,1805,4000,-2541,3321,3468,550,718,-106,-1271,-56,3032,-2810
-4000,-3736,4000,4000,-4000,4000,4000,3174,3443,1960,-4000,-358,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2934,-4000,-398,4000,-4000
-4000,-3629,4000,4000,-4000,4000,4000,4000,3954,1562,-3887,-223,4000,-4000
-4000,-3420,4000,4000,-4000,4000,3636,4000,4000,1560,-3745,-244,4000,-4000
-3626,-2455,3233,2489,-2420,1059,857,4000,3398,1161,-2452,-135,2429,-2041
131,244,-763,-2567,2195,-3758,-3721,1907,1197,184,459,71,-2498,2097
4000,3893,-4000,-4000,4000,-4000,-4000,-2860,-3157,-1180,4000,305,-4000,4000
4000,4000,-4000,-3889,4000,-3871,-3870,-4000,-4000,-1784,3801,245,-4000,3681
3846,2270,-3583,-4000,3674,-4000,-4000,-3605,-3808,-868,2244,131,-4000,3012
4000,2884,-4000,-3980,3553,-3171,-2658,-3449,-3604,-1184,2778,177,-4000,2920
3596,1680,-2046,-3419,1567,-2069,-1680,-2767,-2964,-933,1308,96,-2947,1491
3746,1497,-1984,-3341,1968,-1573,-1359,-1666,-1897,-917,1441,124,-2562,1757
2527,1084,-1066,-1227,605,-275,-159,-1806,-1995,-1018,737,92,-796,624
916,530,-350,-429,652,-144,-243,-639,-870,-811,511,83,-566,757
-616,530,-255,1103,101,904,744,-886,-1048,-963,307,88,541,72
-2926,-243,920,3038,-993,1656,1667,-14,-142,-607,-363,24,1552,-920
-4000,-1741,2688,4000,-3498,4000,4000,1075,1448,426,-2322,-145,3791,-3783
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2664,-4000,-432,4000,-4000
-4000,-4000,4000,4000,-4000,4000,4000,4000,4000,2516,-4000,-330,4000,-4000
-4000,-3340,4000,4000,-4000,4000,4000,4000,3834,1391,-3755,-222,4000,-4000
-4000,-3342,4000,3867,-4000,3483,3011,4000,4000,1592,-3487,-234,3855,-3458
-2991,-1734,2195,1173,-1184,-719,-701,3736,2725,815,-1732,-75,1161,-1036
2279,1530,-2484,-3837,3570,-4000,-4000,546,10,-200,1997,151,-3837,3498
4000,4000,-4000,-4000,4000,-4000,-4000,-3916,-4000,-1650,4000,328,-4000,4000
4000,3337,-4000,-3659,3670,-3806,-3664,-4000,-4000,-1456,3111,180,-3975,3074
4000,2396,-3814,-4000,4000,-4000,-3999,-3176,-3331,-864,2497,150,-4000,3364
4000,2688,-3649,-3677,2711,-2478,-1975,-3660,-3810,-1227,2387,155,-3808,2231
3573,1372,-1701,-3556,1652,-2125,-1816,-2068,-2280,-795,1163,91,-2895,1632
3584,1569,-1994,-2734,1659,-992,-820,-1896,-2092,-1044,1411,129,-1984,1420
1831,733,-547,-812,386,-260,-216,-1353,-1549,-889,461,75,-585,546
513,626,-491,-77,693,180,28,-684,-881,-891,605,97,-343,675
